nb_sample,node,max_cycle,max_cycle,avgcycle,max_delta,avg_delta,
5642,6,8,8,4.5,7,3.2,
6173,6,10,10,3.4,9,5.339285714285714,
6297,6,8,8,4.5,7,2.0303030303030303,
6387,6,8,8,4.5,7,3.2777777777777777,
7232,6,10,10,4.666666666666667,8,5.05,
7285,6,8,8,3.3333333333333335,7,2.3088235294117645,
7692,6,8,8,4.5,7,2.7291666666666665,
8596,6,8,8,3.3333333333333335,7,3.4393939393939394,
8604,6,8,8,3.6666666666666665,7,4.088235294117647,
9095,6,8,8,4.5,7,3.1363636363636362,
9164,6,9,9,3.0,8,4.113636363636363,
9440,6,8,8,4.5,7,4.347222222222222,
9680,6,8,8,3.3333333333333335,7,4.086956521739131,
9768,6,8,8,2.75,7,2.986111111111111,
10127,6,9,9,5.0,8,4.986111111111111,
10331,6,8,8,3.3333333333333335,7,3.5,
10681,6,10,10,5.5,9,3.65,
10760,6,8,8,3.3333333333333335,7,2.7,
10784,6,9,9,5.0,8,3.140625,
10821,6,8,8,4.5,6,3.1904761904761907,
11281,6,8,8,3.3333333333333335,7,5.083333333333333,
11284,6,8,8,4.5,7,2.323529411764706,
11288,6,10,10,3.5,9,3.793103448275862,
11426,6,11,11,6.0,10,7.140625,
11774,6,9,9,5.0,8,4.288461538461538,
12016,6,10,10,5.5,9,3.5555555555555554,
12421,6,9,9,3.6666666666666665,8,3.378787878787879,
12519,6,8,8,4.5,7,3.621212121212121,
12641,6,8,8,4.5,7,3.125,
12645,6,8,8,4.5,7,3.7777777777777777,
12741,6,8,8,3.0,7,3.706896551724138,
12804,6,9,9,5.0,8,3.742857142857143,
12969,6,9,9,5.0,8,4.714285714285714,
13010,6,8,8,4.5,7,2.625,
13189,6,8,8,4.5,7,3.5,
13430,6,9,9,5.0,8,5.634615384615385,
13519,6,9,9,5.0,8,4.114285714285714,
14214,6,8,8,2.75,7,3.1875,
14475,6,8,8,4.5,7,2.693548387096774,
15245,6,8,8,3.3333333333333335,7,3.5652173913043477,
15559,6,9,9,5.0,8,2.8,
15998,6,8,8,4.5,7,2.5161290322580645,
17106,6,10,10,5.5,9,4.0,
17205,6,11,11,6.0,10,5.3,
17259,6,8,8,4.5,7,3.4583333333333335,
17286,6,8,8,4.5,7,2.1666666666666665,
17489,6,8,8,3.3333333333333335,7,3.767857142857143,
17688,6,9,9,4.0,8,3.8484848484848486,
18906,6,8,8,4.5,6,3.391304347826087,
18936,6,10,10,5.5,9,5.089285714285714,
19027,6,9,9,3.6666666666666665,8,3.75,
19268,6,8,8,3.0,7,3.9838709677419355,
20065,6,12,12,6.5,11,5.483870967741935,
20122,6,8,8,4.5,7,3.0757575757575757,
21120,6,9,9,4.25,8,4.375,
21822,6,9,9,5.0,8,4.369565217391305,
21827,6,8,8,4.5,7,3.096774193548387,
22093,6,8,8,4.5,7,3.526315789473684,
22177,6,10,10,4.666666666666667,8,4.75,
22281,6,9,9,2.6,8,4.455882352941177,
22959,6,8,8,4.5,7,4.78125,
23548,6,8,8,2.75,7,5.06,
25211,6,8,8,4.5,7,3.274193548387097,
25274,6,8,8,4.5,7,5.34,
25426,6,8,8,4.5,7,2.138888888888889,
25563,6,8,8,4.5,7,2.5166666666666666,
25733,6,8,8,4.5,7,3.0416666666666665,
25988,6,8,8,3.0,7,3.75,
26099,6,9,9,5.0,8,4.26,
26274,6,8,8,4.5,7,3.3529411764705883,
26353,6,8,8,4.5,7,2.3620689655172415,
26453,6,9,9,3.6666666666666665,8,4.651515151515151,
