file_name,n,k,topology,linkage,id,ratio_sym,
randomnet_34_2.76_homogeneous_uniform_1_.bnet,34,2.76,homogeneous,uniform,1,0.5377870447495404,
randomnet_7_1.71_homogeneous_uniform_1_.bnet,7,1.71,homogeneous,uniform,1,0.7142857142857143,
randomnet_102_3.45_homogeneous_uniform_1_.bnet,102,3.45,homogeneous,uniform,1,0.49547726500268074,
randomnet_12_3.08_homogeneous_uniform_2_.bnet,12,3.08,homogeneous,uniform,2,0.2838541666666667,
randomnet_14_4.29_homogeneous_uniform_2_.bnet,14,4.29,homogeneous,uniform,2,0.4400111607142857,
randomnet_23_2.04_homogeneous_uniform_1_.bnet,23,2.04,homogeneous,uniform,1,0.45812324855638586,
randomnet_24_1.88_homogeneous_uniform_1_.bnet,24,1.88,homogeneous,uniform,1,0.5693410237630209,
randomnet_40_1.43_homogeneous_uniform_2_.bnet,40,1.43,homogeneous,uniform,2,0.4011714935302734,
randomnet_18_1.44_homogeneous_uniform_2_.bnet,18,1.44,homogeneous,uniform,2,0.620468987358941,
randomnet_16_2.75_homogeneous_uniform_1_.bnet,16,2.75,homogeneous,uniform,1,0.59765625,
randomnet_12_2.25_homogeneous_uniform_2_.bnet,12,2.25,homogeneous,uniform,2,0.7916666666666666,
randomnet_41_2.49_homogeneous_uniform_1_.bnet,41,2.49,homogeneous,uniform,1,0.5354938041873094,
randomnet_20_2.4_homogeneous_uniform_1_.bnet,20,2.4,homogeneous,uniform,1,0.4674064636230469,
randomnet_8_2.5_homogeneous_uniform_1_.bnet,8,2.5,homogeneous,uniform,1,0.609375,
randomnet_66_2.17_homogeneous_uniform_1_.bnet,66,2.17,homogeneous,uniform,1,0.4610156434955019,
randomnet_14_3_homogeneous_uniform_1_.bnet,14,3,homogeneous,uniform,1,0.5424107142857143,
randomnet_19_2.53_homogeneous_uniform_1_.bnet,19,2.53,homogeneous,uniform,1,0.5438609876130757,
randomnet_11_4.36_homogeneous_uniform_2_.bnet,11,4.36,homogeneous,uniform,2,0.47691761363636365,
randomnet_15_2.33_homogeneous_uniform_2_.bnet,15,2.33,homogeneous,uniform,2,0.5375,
randomnet_36_3.36_homogeneous_uniform_2_.bnet,36,3.36,homogeneous,uniform,2,0.5344390869140625,
randomnet_103_2.48_homogeneous_uniform_1_.bnet,103,2.48,homogeneous,uniform,1,0.5295487190913228,
randomnet_21_2.38_homogeneous_uniform_2_.bnet,21,2.38,homogeneous,uniform,2,0.6133604503813244,
randomnet_61_3.93_homogeneous_uniform_1_.bnet,61,3.93,homogeneous,uniform,1,0.5397178774974385,
randomnet_6_2.33_homogeneous_uniform_1_.bnet,6,2.33,homogeneous,uniform,1,0.6041666666666666,
randomnet_92_2.77_homogeneous_uniform_2_.bnet,92,2.77,homogeneous,uniform,2,0.5386802009914232,
randomnet_110_1.95_homogeneous_uniform_2_.bnet,110,1.95,homogeneous,uniform,2,0.5087394020774147,
randomnet_5_3_homogeneous_uniform_2_.bnet,5,3,homogeneous,uniform,2,0.625,
randomnet_6_2.5_homogeneous_uniform_2_.bnet,6,2.5,homogeneous,uniform,2,0.6458333333333334,
randomnet_10_3.5_homogeneous_uniform_2_.bnet,10,3.5,homogeneous,uniform,2,0.534375,
randomnet_18_3.22_homogeneous_uniform_1_.bnet,18,3.22,homogeneous,uniform,1,0.5213826497395834,
randomnet_7_1.71_homogeneous_uniform_2_.bnet,7,1.71,homogeneous,uniform,2,0.5357142857142857,
randomnet_102_3.45_homogeneous_uniform_2_.bnet,102,3.45,homogeneous,uniform,2,0.5310142367493873,
randomnet_34_2.76_homogeneous_uniform_2_.bnet,34,2.76,homogeneous,uniform,2,0.5542791029986214,
randomnet_11_1.18_homogeneous_uniform_1_.bnet,11,1.18,homogeneous,uniform,1,0.6704545454545454,
randomnet_19_3.21_homogeneous_uniform_2_.bnet,19,3.21,homogeneous,uniform,2,0.5021988718133223,
randomnet_26_2.69_homogeneous_uniform_1_.bnet,26,2.69,homogeneous,uniform,1,0.5837601881760818,
randomnet_218_2.08_homogeneous_uniform_2_.bnet,218,2.08,homogeneous,uniform,2,0.5259197830060206,
randomnet_103_2.46_homogeneous_uniform_2_.bnet,103,2.46,homogeneous,uniform,2,0.4972254188315382,
randomnet_9_2.11_homogeneous_uniform_1_.bnet,9,2.11,homogeneous,uniform,1,0.4166666666666667,
randomnet_12_2.25_homogeneous_uniform_1_.bnet,12,2.25,homogeneous,uniform,1,0.5494791666666666,
randomnet_41_2.49_homogeneous_uniform_2_.bnet,41,2.49,homogeneous,uniform,2,0.5763810320598323,
randomnet_23_2.04_homogeneous_uniform_2_.bnet,23,2.04,homogeneous,uniform,2,0.5321894106657609,
randomnet_14_4.29_homogeneous_uniform_1_.bnet,14,4.29,homogeneous,uniform,1,0.5290178571428571,
randomnet_24_1.88_homogeneous_uniform_2_.bnet,24,1.88,homogeneous,uniform,2,0.6513023376464844,
randomnet_12_3.08_homogeneous_uniform_1_.bnet,12,3.08,homogeneous,uniform,1,0.51953125,
randomnet_16_2.75_homogeneous_uniform_2_.bnet,16,2.75,homogeneous,uniform,2,0.55126953125,
randomnet_18_1.44_homogeneous_uniform_1_.bnet,18,1.44,homogeneous,uniform,1,0.5171229044596354,
randomnet_40_1.43_homogeneous_uniform_1_.bnet,40,1.43,homogeneous,uniform,1,0.5310798645019531,
