n,density,max_cycle,nb_sym,nb_sym_transcient,nb_sym_cycle,ratio_sym,ratio_sym_transcient,ratio_sym_cycle,mat,
460,0.469,2,0,0,0,0.6071428571428568,0.6074332171893144,0.5999999999999999,"[1.0; 0.0; -1.0; 0.0; 1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; -1.0; -1.0; 0.0; -1.0; 0.0; 1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 1.0; 1.0; 0.0; -1.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; -1.0; 0.0; -1.0; -1.0; 1.0; 0.0]",
461,0.796,4,2,2,0,0.5736607142857142,0.5714285714285714,0.6190476190476191,"[1.0; -1.0; 1.0; -1.0; 1.0; 0.0; -1.0; 1.0; 0.0; -1.0; 1.0; -1.0; 1.0; -1.0; -1.0; 1.0; -1.0; -1.0; 1.0; 0.0; -1.0; 1.0; 0.0; -1.0; 1.0; -1.0; 1.0; 1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 1.0; -1.0; 0.0; 1.0; 0.0; -1.0; 0.0; -1.0; 1.0; -1.0; 1.0]",
462,0.571,1,0,0,0,0.42857142857142855,0.42517006802721086,0.6428571428571428,"[0.0; 1.0; 1.0; 1.0; 0.0; -1.0; 1.0; 1.0; 0.0; -1.0; 0.0; 1.0; 0.0; -1.0; 1.0; 1.0; 0.0; 1.0; 1.0; -1.0; 0.0; 1.0; 1.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; -1.0; -1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; -1.0; 0.0]",
463,0.265,3,0,0,0,0.4642857142857144,0.4630952380952383,0.48214285714285704,"[0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 0.0]",
464,0.265,1,0,0,0,0.5714285714285715,0.570294784580499,0.6428571428571428,"[0.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 1.0; -1.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0]",
465,0.939,1,4,4,0,0.6629464285714282,0.667428571428571,0.4761904761904761,"[1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 1.0; -1.0; 1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; -1.0; 1.0; -1.0; 1.0; 0.0; -1.0; -1.0; 1.0; -1.0; 1.0; 1.0; -1.0; -1.0; -1.0; 0.0; 1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; 1.0; 1.0; -1.0; -1.0; 1.0; -1.0]",
466,0.735,5,0,0,0,0.5178571428571426,0.5178571428571426,0.5178571428571429,"[0.0; 1.0; -1.0; -1.0; 1.0; 0.0; -1.0; 1.0; -1.0; 0.0; 1.0; 1.0; 1.0; -1.0; -1.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; 1.0; 0.0; -1.0; -1.0; 0.0; 1.0; 1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 0.0; 1.0; 0.0; 0.0; 1.0; -1.0; 1.0; -1.0; 0.0; 1.0; -1.0; 1.0; -1.0; 1.0; -1.0; 1.0]",
467,0.612,1,0,0,0,0.44642857142857134,0.44685714285714273,0.42857142857142855,"[-1.0; 0.0; 0.0; 0.0; 1.0; -1.0; -1.0; 1.0; 0.0; 0.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; 1.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; -1.0; 0.0; 1.0; -1.0; 0.0; 1.0; 0.0; 0.0; 1.0; 0.0; 1.0; 0.0; -1.0; 0.0; -1.0; 1.0; 1.0; 1.0; 0.0; 0.0; -1.0; -1.0; -1.0; 1.0; 0.0; -1.0]",
468,0.755,1,2,2,0,0.5669642857142858,0.5668934240362812,0.5714285714285714,"[1.0; -1.0; 1.0; 0.0; 1.0; 1.0; 1.0; -1.0; 1.0; -1.0; -1.0; 1.0; -1.0; 0.0; 1.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 1.0; 0.0; 1.0; -1.0; 0.0; 1.0; -1.0; -1.0; -1.0; 1.0; 0.0; -1.0; -1.0; -1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; 1.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; 0.0]",
469,0.898,1,0,0,0,0.5334821428571427,0.5362811791383217,0.3571428571428571,"[1.0; -1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 0.0; 1.0; -1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 1.0; -1.0; 1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; -1.0; 0.0; 1.0; 1.0; -1.0; -1.0; 1.0; 0.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; 1.0; 1.0; 1.0]",
